Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Amenity Type (grouped),Shop Type (grouped),Tourism Type (grouped),Building Type (grouped),Property Type
12.2864407,76.6260859,3.932402605399045,Jockey,,clothes,,,clothes
12.2848131,76.625941,4.109308649249055,Cumin,food service,,,,food service
12.2866844,76.626515,3.912786362391572,Peter England,,clothes,,,clothes
12.2859798,76.6257741,3.9783164612802793,Vinayaka Temple,place of worship,,,,place of worship
12.2844462,76.6260429,4.151242165246805,Net Focus Browsing Center,education,,,,education
12.2867709,76.6256809,3.8897929596032497,Loyal World,,grocery,,,grocery
12.286176,76.6257399,3.9561966850585244,Kuvempunagar Shopping Complex,,grocery,,,grocery
12.2867656,76.6255414,3.8883209158259238,Woodlands,,clothes,,,clothes
12.2863673,76.6265901,3.9488980770812203,People,,clothes,,,clothes
12.2844174,76.6264104,4.160122760447655,Agarwal's Chats,food service,,,,food service
12.2844672,76.6261985,4.151304012956331,Mr.Idly,food service,,,,food service
12.2867394,76.6258096,3.8952088729042234,Rangoli Showroom,,clothes,,,clothes
12.2856125,76.6259893,4.022015768918939,Corporation Bank,financial,,,,financial
12.3370488,76.6178496,1.7662706268365527,Sri Raghavendra Complex,,,,residential,residential
12.326263,76.6160262,0.7442381257063261,Taste Buds,food service,,,,food service
12.3343942,76.6129873,1.671317688865819,JSS School,education,,,,education
12.3389506,76.6153771,2.0349730830126673,Mytri,food service,,,,food service
12.3237475,76.625937,0.6195795216009322,The Downtown,food service,,,,food service
12.3070497,76.6163213,1.6689209424482185,Gusto,bar/club,,,,bar/club
12.3219866,76.6179359,0.31266228153515396,Greens,food service,,,,food service
12.3121835,76.6405428,2.3824080971025148,The Quorum,food service,,,,food service
12.3231202,76.6302866,1.0525664585915147,Domino's,food service,,,,food service
12.3253282,76.6282116,0.919241025409448,The 6th main,food service,,,,food service
12.3251248,76.6286932,0.9556953526336271,High way,food service,,,,food service
12.3209763,76.6306547,1.0765725384528813,Cafe Pascucci,cafe,,,,cafe
12.3240662,76.6261934,0.6600095900794043,Green Leaf,food service,,,,food service
12.3238042,76.6279504,0.8253936021884692,Lemon tree,food service,,,,food service
12.3238854,76.6277921,0.8121300726494171,Empire,food service,,,,food service
12.3019019,76.6511622,3.952530946639549,,cinema,,,,cinema
12.3239931,76.6280108,0.8385422983914971,Mezzaluna Restaurant,food service,,,,food service
12.3263371,76.6191567,0.5736630288681435,Mezzaluna Restaurant,food service,,,,food service
12.3263944,76.6173466,0.6656167270956688,Shivsagar Hotel,food service,,,,food service
12.3232486,76.6356858,1.6346766851388157,Petrol Bunk,fuel,,,,fuel
12.3124209,76.6405996,2.3767423964522156,Quorum,,,lodging,,lodging
12.2972477,76.6477799,3.9804852527853,T.I.M.E Institute,,,,office,office
12.3209572,76.6315057,1.1690220069790067,Santrupthi Homestay,,,lodging,,lodging
12.3619271,76.6264901,4.547062080081315,Hotel Mayflower,food service,,,,food service
12.2891871,76.6291222,3.6976116722787546,Prakriye - IT for Change,,,,office,office
12.2961252,76.6315971,3.049328710718725,Mega Mart,,clothes,,,clothes
12.3088241,76.6539235,3.865936294481935,KFC,food service,,,,food service
12.308822,76.6540163,3.8754189843411373,PVR Cinemas,cinema,,,,cinema
12.3049803,76.6438454,3.1038784764031213,Embassy,bar/club,,,,bar/club
12.295324,76.6142885,2.9855716024869943,Day To Day Food Stuffs,,grocery,,,grocery
12.3101549,76.6464063,3.055241870060933,Nalapaak,food service,,,,food service
12.3092568,76.6469656,3.1523029898157704,Chopra's,,clothes,,,clothes
12.3104405,76.6464143,3.043154234179671,Hotel Sringar,food service,,,,food service
12.3092542,76.647207,3.1761344260018283,Bhima & Brothers,,jewellery,,,jewellery
12.3098683,76.6498889,3.415711759796223,Big Bus,,clothes,,,clothes
12.3225663,76.6290267,0.9075781636395936,Chandramoulishwara Temple,place of worship,,,,place of worship
12.2833622,76.6416921,4.8044147485009425,Srinidhi Sagar,food service,,,,food service
12.3082818,76.6535696,3.8525902312117095,,financial,,,,financial
12.3067174,76.651169,3.6864169093011823,Rajabhavan Hotel,food service,,,,food service
12.3312788,76.6273349,1.3086934743067238,Vishnu Bhavan,food service,,,,food service
12.3358069,76.6238461,1.6346114962474787,Aralimara Temple,place of worship,,,,place of worship
12.3380654,76.6123816,2.0623169830383787,,financial,,,,financial
12.323934,76.6347378,1.5445036617953025,Sri Ramakrishna Ashrama,place of worship,,,,place of worship
12.327841,76.6313797,1.3571720668218283,Nalapak,food service,,,,food service
12.3309801,76.6286653,1.366914296512479,Ganapati Temple,place of worship,,,,place of worship
12.315877,76.6581867,4.1128310317848795,Aishwarya Residency,,,lodging,,lodging
12.3121963,76.6585251,4.229416768574241,Reliance Mart,,grocery,,,grocery
12.2890375,76.6294424,3.7224058108869373,,education,,,,education
12.2937216,76.6255377,3.123442027626991,A2Z Supermarket,,grocery,,,grocery
12.2923438,76.6247118,3.2615774610407184,Axis Bank,financial,,,,financial
12.3030794,76.6057192,2.6128986506690524,Mata Amritanandamayi Math,place of worship,,,,place of worship
12.3581765,76.5993942,4.699856998086648,Infosys Bus Station,transportation,,,,transportation
12.3129434,76.6446722,2.7639350544675407,McDonald's,food service,,,,food service
12.2953686,76.6077588,3.2225457749750697,Petrol Bunk,fuel,,,,fuel
12.3181954,76.663362,4.642449621625311,Acme Auto gas,fuel,,,,fuel
12.3016417,76.635416,2.7154188933263974,Shree SS Petrol / Gas Station,fuel,,,,fuel
12.3538127,76.6170616,3.624179262734069,Prema Petrol / Gas Station,fuel,,,,fuel
12.3304803,76.6452435,2.844607781358052,HDFC,financial,,,,financial
12.311427,76.6589809,4.298790722119447,,bar/club,,,,bar/club
12.3183859,76.6596091,4.234348842231051,M. B. International,,,lodging,,lodging
12.3189459,76.6252994,0.5651558367263726,Elements Bistro,food service,,,,food service
12.31842,76.6487789,3.0625776006874226,Indian Oil,fuel,,,,fuel
12.3184023,76.6505331,3.252278830604216,Axis Bank,financial,,,,financial
12.3186093,76.6508496,3.2842084401676557,State Bank,financial,,,,financial
12.318868,76.6589358,4.15743552066994,Hotel Silver Star,,,lodging,,lodging
12.3238524,76.6130152,0.8832309707456283,Aishwarya Petrol Bunk,fuel,,,,fuel
12.2999571,76.6346607,2.8245133396984614,HDFC Bank,financial,,,,financial
12.3112197,76.6596385,4.373763262844827,Maharaja Hotel Mysore,,,lodging,,lodging
12.319111,76.6619921,4.48710782477678,Green wood inn,,,lodging,,lodging
12.3259335,76.6266137,0.810522020300881,Bell Platter,food service,,,,food service
12.3267251,76.6273263,0.9260530046498935,Cubs & Mezzaluna,cafe,,,,cafe
12.3131046,76.6366698,1.960630399703404,The Green Hotel,,,lodging,,lodging
12.3111165,76.657859,4.1904829614994314,The Grand Inn,,,lodging,,lodging
12.3130915,76.6533825,3.6634848831268227,Shivanna Provision Store,,grocery,,,grocery
12.2958356,76.6258709,2.898637739453645,Shree Guru Sasyahari,food service,,,,food service
12.2993453,76.6259355,2.5182889100387196,State Bank of India,financial,,,,financial
12.2947068,76.6257263,3.019072019378265,Lemon Three,food service,,,,food service
12.294573,76.625697,3.0331460411932243,Chicken Hut,food service,,,,food service
12.2964703,76.6291621,2.920755888706164,,financial,,,,financial
12.2964459,76.6303417,2.9658705344698477,,financial,,,,financial
12.2961656,76.6275156,2.9026206082135326,,financial,,,,financial
12.2987331,76.6262811,2.5931198364841834,Domino's,food service,,,,food service
12.299458,76.6283351,2.577169897075029,Nandini Milk Booth,,grocery,,,grocery
12.2989456,76.6263204,2.5711392859595223,IDBI Bank,financial,,,,financial
12.2990973,76.6263508,2.5555306948540473,Hotel Nalpak,food service,,,,food service
12.2986812,76.6333201,2.873390178706545,Indian Oil,fuel,,,,fuel
12.3015403,76.6303301,2.4430429517683176,State Bank of Mysore,financial,,,,financial
12.3014994,76.6262206,2.2932721387621884,Passion Fellowship,place of worship,,,,place of worship
12.302523,76.6180188,2.122171948170259,Axis Bank,financial,,,,financial
12.3072574,76.6163241,1.6467330021925306,,financial,,,,financial
12.3130997,76.6153687,1.0946876392365132,,financial,,,,financial
12.3206379,76.6210058,0.09113351122840502,IDBI Bank,financial,,,,financial
12.3444279,76.605859,3.027140289498306,Sankranthi Circle;Karnataka Bank,financial,,,,financial
12.3244576,76.6132957,0.8779033816855906,Greenleaf,food service,,,,food service
12.2925279,76.6280554,3.3091055521342785,The National Cooperative Bank Ltd.,financial,,,,financial
12.2939439,76.628469,3.168056555705086,Bank of Baroda,financial,,,,financial
12.2909753,76.6108417,3.5524803999485957,Orchids School,education,,,,education
12.3105013,76.6580399,4.228525563684716,Giri,bar/club,,,,bar/club
12.2998304,76.6244292,2.4336118859761093,,financial,,,,financial
12.3052457,76.6471556,3.3853354590518965,Goli,food service,,,,food service
12.3164518,76.6236194,0.6340482510694962,State Bank of India,financial,,,,financial
12.3227206,76.6245615,0.4380729885143619,State Bank of India,financial,,,,financial
12.3163077,76.6277322,0.947449951431869,State Bank of India,financial,,,,financial
12.3089819,76.6518801,3.653233748638195,,financial,,,,financial
12.295658,76.6153036,2.9251830873088953,New Ashwini Bar and Restaurant,bar/club,,,,bar/club
12.3024862,76.6214719,2.106782546760539,Shiv Sagar,,,lodging,,lodging
12.3020732,76.6221977,2.1569678272289847,State Bank of Mysore,financial,,,,financial
12.2981717,76.6169668,2.617646752782527,State Bank of India,financial,,,,financial
12.2981544,76.6169615,2.6196370416283674,,financial,,,,financial
12.2954673,76.6211198,2.8860806945251545,Kavitha Departmental Store,,grocery,,,grocery
12.3008644,76.6166746,2.3282672667778406,ICICI Bank,financial,,,,financial
12.3061956,76.6445225,3.0875043307779797,Andhra Bank,financial,,,,financial
12.3058933,76.6333887,2.205557783290848,24 Mane Telugu Shetty Student Hostel,,,lodging,,lodging
12.3052077,76.6316872,2.158775455721612,Jyotipana Ganiga Student Hostel,,,lodging,,lodging
12.3102725,76.6581207,4.244296475169154,Madwadi Gujrathi,food service,,,,food service
12.3084901,76.6639936,4.912388185229353,Karnataka Bank,financial,,,,financial
12.3060935,76.6471562,3.336261009180763,Syndicate Bank,financial,,,,financial
12.3128198,76.6462771,2.93288959935424,Bharat Petroleum,fuel,,,,fuel
12.3382882,76.6168895,1.922086939344711,Purple Haze,bar/club,,,,bar/club
12.3178147,76.6484991,3.0405081136559833,Vidyavardhaka First Grade College,education,,,,education
12.2805402,76.604575,4.8736723957342605,Axis Bank,financial,,,,financial
12.3252255,76.6582374,4.093748692943346,Indian Oil Fuel Station,fuel,,,,fuel
12.3254574,76.6585825,4.133758006758555,Bharat Petroleum,fuel,,,,fuel
12.328986,76.6635208,4.721299296390045,State Bank of India,financial,,,,financial
12.3288029,76.6635272,4.718400106412557,Five Star Chicken,food service,,,,food service
12.3291308,76.6639744,4.772659218940863,New Sagar Home World,,grocery,,,grocery
12.3292104,76.6641839,4.796638983500698,New Sagar Home World,,grocery,,,grocery
12.2956241,76.6395737,3.522402315555597,Brand Factory,,clothes,,,clothes
12.2956136,76.640711,3.596454721988382,R.N.M Associated,,home furnishing,,,home furnishing
12.2956979,76.6396186,3.518561691184445,Sindhoor Restaurant,food service,,,,food service
12.3092893,76.6524423,3.6972262087870744,Canara Bank,financial,,,,financial
12.3091135,76.6528121,3.7417653561710353,Shankar Shetty & Sons,,jewellery,,,jewellery
12.3120454,76.6519146,3.541909112204503,Bata,,shoes,,,shoes
12.310159,76.6480638,3.220145468153071,KPC Glass House,,,attraction,,attraction
12.3102276,76.6493661,3.348096142602153,Rajkamal Theater,cinema,,,,cinema
12.313578,76.6564205,3.971443078446584,Indian Overseas Bank,financial,,,,financial
12.3101269,76.6562927,4.059762050395589,Bata,,shoes,,,shoes
12.326195,76.659894,4.284797897463006,Sri Lakshmi Venkateshwara Temple,place of worship,,,,place of worship
12.3333638,76.6582053,4.2795612004501775,St. Philomena's Ladies Hostel,,,lodging,,lodging
12.3362663,76.6574683,4.316350796586291,,place of worship,,,,place of worship
12.339681,76.6566658,4.3978109225678255,St. Mathai's High School,,,,education,education
12.3310674,76.6457119,2.9156283054092493,,fuel,,,,fuel
12.3310929,76.6470596,3.0532345600023176,Kamat Yatrinivas,food service,,,,food service
12.3284363,76.6407241,2.3053162162169714,I Can Learning Centre,,,,education,education
12.3225134,76.6225131,0.22640318401459308,Polar Bear ice cream,food service,,,,food service
12.3238911,76.6267867,0.7105232913396189,ICICI Bank,financial,,,,financial
12.3214253,76.6217523,0.10834193860210709,Lollipop,,clothes,,,clothes
12.3063856,76.645686,3.1828132466714116,Dolphin,food service,,,,food service
12.2995112,76.6424642,3.3907360881780892,The Old House,cafe,,,,cafe
12.2996174,76.6424642,3.38226136963171,,,clothes,,,clothes
12.3280309,76.6286193,1.12704352472276,Tina's Cafe,cafe,,,,cafe
12.3249513,76.6271025,0.7935109449796369,Dhaatu,,grocery,,,grocery
12.3241912,76.6249254,0.547905684453561,Mysore Silk Udyog,,clothes,,,clothes
12.3234015,76.628527,0.872573677560309,Madhwa Bhavan,food service,,,,food service
12.32466,76.6244234,0.5372198716315131,Reliance Fresh,,grocery,,,grocery
12.3266498,76.6268461,0.8809142824601939,Cafe Coffee Day,cafe,,,,cafe
12.3327212,76.632753,1.8104909468276582,Indian Oil,fuel,,,,fuel
12.3238764,76.6385564,1.9530162328606433,Indian Overseas Bank,financial,,,,financial
12.3248093,76.6315102,1.2276479496993478,Barrista,cafe,,,,cafe
12.3255246,76.6323926,1.3440891672544404,Bata,,shoes,,,shoes
12.3246914,76.6238176,0.4929629071044221,Karnataka Bank,financial,,,,financial
12.3246835,76.6238659,0.4958759664099588,Cuppa,cafe,,,,cafe
12.3211494,76.6210129,0.041113264172825736,Barbeque Nation,food service,,,,food service
12.3255055,76.6323212,1.3360726706623454,Woodlands,,shoes,,,shoes
12.2861397,76.6273009,3.986927602512663,Bank of India,financial,,,,financial
12.3384127,76.616396,1.9479316990980857,Indian Overseas Bank,financial,,,,financial
12.2863276,76.6274055,3.9684240775666915,Easy Day,,grocery,,,grocery
12.3084725,76.660436,4.544854880745009,Siddhartha,cafe,,,,cafe
12.2964656,76.6292137,2.923009809435427,,financial,,,,financial
12.2956715,76.6289626,2.9987369421897774,Nandini Milk Booth,,grocery,,,grocery
12.2968219,76.6414461,3.5403507090790525,,financial,,,,financial
12.2918856,76.6251357,3.3183805731981115,,financial,,,,financial
12.2921434,76.6250412,3.288543996324376,,financial,,,,financial
12.3089203,76.6627828,4.772612554023702,State Bank of India,financial,,,,financial
12.334468,76.5936164,3.2857682275293847,Indian Oil,fuel,,,,fuel
12.3332835,76.596937,2.9042570624276602,,fuel,,,,fuel
12.3539387,76.6126171,3.722403040845226,,fuel,,,,fuel
12.323308,76.6127985,0.8894704295786192,State Bank of India,financial,,,,financial
12.3248485,76.6027967,1.9877634876242465,Andhra Bank,financial,,,,financial
12.3249874,76.6021128,2.0636402229096475,Canara Bank,financial,,,,financial
12.3289234,76.6477514,3.0490504354310657,The 1961,food service,,,,food service
12.3309435,76.6469896,3.040293625489997,Nalapad Residency,,,lodging,,lodging
12.3053344,76.635222,2.381031298766312,Ramya Hotel,food service,,,,food service
12.3344971,76.595544,3.1007863157353706,Grand Maurya Resort,,,lodging,,lodging
12.3022123,76.6322914,2.4763612355931124,Donne Biryani,food service,,,,food service
12.3248692,76.6240039,0.5212128953383819,Top Stuff,food service,,,,food service
12.3380462,76.6167044,1.9003916957042344,Dolphins,food service,,,,food service
12.3015807,76.6349309,2.690405734885492,Karnataka Bank,financial,,,,financial
12.2999317,76.634695,2.828893282919484,Geethanjali,,jewellery,,,jewellery
12.3036854,76.6318564,2.311552252499283,"Lalitha's ""Maneruchi""",food service,,,,food service
12.3257956,76.6193105,0.5112234890983635,CK Cafe,cafe,,,,cafe
12.3380749,76.6167921,1.9013167409900567,Purple Haze,bar/club,,,,bar/club
12.3237007,76.6271285,0.7373569246784168,Gupta Sweets & Chats,food service,,,,food service
12.324912,76.6228508,0.45011792907121145,Cafelicious,cafe,,,,cafe
12.3253173,76.6214058,0.4390889679669372,Maharashtra Bank,financial,,,,financial
12.3615606,76.6303648,4.583871359065062,Cafe Coffee Day,cafe,,,,cafe
12.2855804,76.5968754,4.755217350700509,Sharada Public School,,,attraction,,attraction
12.3151382,76.6449229,2.7168080416485303,Adyar Ananda Bhavan,food service,,,,food service
12.3348193,76.6318801,1.918449104540791,Shree Vaishnavi Restaurant,cafe,,,,cafe
12.3345813,76.6310958,1.8448890287868676,Natures Nectar,,grocery,,,grocery
12.3279539,76.6626986,4.613990152739403,Loyal World,,grocery,,,grocery
12.337985,76.661856,4.829833369676216,Farookia Masjid,place of worship,,,,place of worship
12.3050449,76.6472732,3.4080436397619627,Hangout Cafe & Bistro,cafe,,,,cafe
12.3013812,76.6549716,4.3338928530490595,Suttur Matha,place of worship,,,,place of worship
12.3199187,76.6527084,3.4752361478377565,Hazrath Khwaja Ghareeb Un Nawaz Hotel,food service,,,,food service
12.3233297,76.6286203,0.8804249152145458,Anima,food service,,,,food service
12.3293897,76.6446391,2.7417449514511607,White Parrot,,,lodging,,lodging
12.3043553,76.6473542,3.4569760940388465,Nana's Place,,,lodging,,lodging
12.3184352,76.6630743,4.609290734880311,Fortune JP Palace,,,lodging,,lodging
12.2920469,76.615012,3.325198059630434,Vishwamanava High School,education,,,,education
12.3037064,76.6463657,3.4089058528488208,Dalvoy A S School Committee,education,,,,education
12.3048276,76.6297812,2.089384569363074,Mahabodhi School,education,,,,education
